UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
1,L,297.02,306.41,1641,27.77,154.6,0,No_Failure
2,H,297.75,307.36,1501,33.84,189.9,0,No_Failure
3,M,300.78,309.75,1618,21.31,6.3,0,No_Failure
4,L,297.65,306.76,1317,39.26,84.9,0,No_Failure
5,L,302.23,312.66,1526,45.87,192.6,0,No_Failure
6,L,299.86,309.99,1374,26.53,101.0,0,No_Failure
7,L,300.17,310.66,1280,40.17,90.7,0,No_Failure
8,M,299.44,309.66,1345,31.95,240.9,1,Tool_Wear_Failure
9,M,301.55,312.25,1402,46.69,141.1,0,No_Failure
10,M,301.57,312.44,1724,16.86,51.1,0,No_Failure
11,L,300.67,308.93,1397,47.12,118.1,0,No_Failure
12,H,301.13,310.28,1271,21.82,134.7,0,No_Failure
13,M,299.58,309.34,1524,37.9,250.2,0,No_Failure
14,L,301.08,311.06,1505,32.91,179.6,0,No_Failure
15,L,299.32,308.65,1411,36.39,129.9,0,No_Failure
16,L,300.0,310.92,1471,24.71,108.0,0,No_Failure
17,L,299.45,311.43,1676,56.6,228.9,0,No_Failure
18,L,299.09,309.27,1621,27.13,161.5,0,No_Failure
19,L,298.62,308.71,1605,27.92,89.0,0,No_Failure
20,L,300.94,311.78,1287,57.95,116.2,0,No_Failure
21,M,302.62,310.76,2020,43.23,72.5,0,No_Failure
22,L,302.34,312.37,1689,27.46,240.1,0,No_Failure
23,L,297.49,308.47,1593,38.71,175.5,0,No_Failure
24,L,302.58,311.94,1290,37.64,98.1,0,No_Failure
25,L,299.36,308.14,1671,23.12,45.8,0,No_Failure
26,M,301.2,311.02,1410,32.42,47.3,0,No_Failure
27,L,298.19,308.13,1465,39.74,119.4,0,No_Failure
28,L,300.28,309.38,1197,52.66,116.9,0,No_Failure
29,L,300.63,312.72,1277,38.11,104.4,0,No_Failure
30,L,297.03,306.55,1579,38.86,213.0,0,No_Failure
31,M,301.22,310.06,1681,31.85,247.8,1,Tool_Wear_Failure
32,L,302.69,312.6,1623,50.96,88.7,0,No_Failure
33,L,299.65,310.56,1617,49.02,73.7,0,No_Failure
34,H,302.72,312.74,1488,47.89,197.5,0,No_Failure
35,H,299.62,310.11,1427,41.12,117.4,0,No_Failure
36,M,301.7,310.83,1552,24.01,57.4,0,No_Failure
37,L,295.56,307.05,1648,50.87,45.2,0,No_Failure
38,L,304.84,315.4,1501,40.57,70.1,0,No_Failure
39,M,302.99,314.04,1718,36.91,3.3,0,No_Failure
40,L,299.43,309.8,1461,44.48,235.4,0,No_Failure
41,L,296.06,306.88,1324,42.24,107.6,0,No_Failure
42,L,300.58,309.7,1498,29.31,20.7,0,No_Failure
43,L,297.11,306.62,1519,36.79,41.2,0,No_Failure
44,H,300.89,312.24,1485,20.96,85.8,0,No_Failure
45,L,300.82,312.38,1731,40.86,137.9,0,No_Failure
46,M,298.12,306.97,1645,53.3,178.9,0,No_Failure
47,L,302.24,312.49,1242,22.04,77.0,0,No_Failure
48,L,301.61,311.18,1776,41.29,239.4,1,Tool_Wear_Failure
49,L,301.95,311.25,1007,46.68,190.1,0,No_Failure
50,L,300.02,310.3,1887,48.16,206.4,0,No_Failure
51,H,297.17,308.31,1448,32.54,85.9,0,No_Failure
52,M,301.96,312.41,1466,28.98,98.2,0,No_Failure
53,H,299.46,309.14,1489,34.13,139.5,0,No_Failure
54,M,297.22,307.74,1569,51.91,115.9,0,No_Failure
55,L,302.7,312.34,1500,22.9,65.0,0,No_Failure
56,H,304.2,314.61,1476,27.84,254.3,1,Tool_Wear_Failure
57,L,299.92,311.31,1736,35.41,212.1,0,No_Failure
58,L,304.32,312.24,1602,30.24,59.5,0,No_Failure
59,L,300.18,310.98,1327,39.58,223.1,0,No_Failure
60,L,299.24,307.7,1633,54.15,146.7,0,No_Failure
61,L,298.74,309.97,1594,27.96,3.1,0,No_Failure
62,L,303.27,312.64,1402,38.54,86.5,0,No_Failure
63,M,298.44,307.22,1643,39.92,9.4,0,No_Failure
64,L,301.47,312.17,1472,36.65,21.9,0,No_Failure
65,L,298.88,309.25,1460,24.22,44.7,0,No_Failure
66,L,299.08,308.08,1455,33.62,121.1,0,No_Failure
67,L,302.06,310.81,1063,33.65,95.3,0,No_Failure
68,M,299.24,309.05,1405,46.34,40.2,0,No_Failure
69,L,299.19,307.99,1628,44.2,98.6,0,No_Failure
70,H,302.27,311.2,1496,24.48,81.1,0,No_Failure
71,M,303.19,313.31,1269,36.13,105.5,0,No_Failure
72,L,301.29,310.32,1674,35.0,43.1,0,No_Failure
73,L,298.69,309.12,1446,59.55,152.4,0,No_Failure
74,M,298.98,310.47,1280,42.92,14.1,0,No_Failure
75,M,300.16,310.01,1897,29.23,100.0,0,No_Failure
76,M,300.64,310.77,1310,32.23,226.7,1,Tool_Wear_Failure
77,M,298.02,310.04,1658,36.21,107.9,0,No_Failure
78,L,301.45,310.26,1362,43.62,110.3,0,No_Failure
79,L,300.17,311.36,1524,44.85,17.0,0,No_Failure
80,L,296.57,307.64,1338,42.0,151.3,0,No_Failure
81,M,298.14,309.0,1277,37.9,237.1,0,No_Failure
82,M,298.99,310.28,1594,38.64,75.9,0,No_Failure
83,L,299.85,310.13,1573,38.71,98.3,0,No_Failure
84,L,303.78,313.2,1706,22.17,147.0,0,No_Failure
85,L,300.48,311.57,1494,39.39,23.3,0,No_Failure
86,L,298.32,309.45,1900,34.23,237.6,1,Tool_Wear_Failure
87,M,300.44,311.55,1548,23.47,119.9,0,No_Failure
88,M,299.3,309.34,1602,64.18,31.8,1,Power_Failure
89,M,300.65,309.93,1255,43.11,86.8,0,No_Failure
90,L,301.16,311.35,1389,40.13,93.5,0,No_Failure
91,L,302.42,313.36,1594,36.29,86.3,0,No_Failure
92,M,299.95,310.98,1485,47.3,176.3,0,No_Failure
93,M,303.28,312.85,1534,28.38,89.4,0,No_Failure
94,L,301.82,312.13,1353,36.87,81.0,0,No_Failure
95,M,298.59,307.28,1522,30.48,83.5,0,No_Failure
96,L,304.42,315.4,1521,47.22,194.5,0,No_Failure
97,L,300.65,309.87,1288,31.73,77.1,0,No_Failure
98,L,298.33,309.12,1616,51.01,3.5,0,No_Failure
99,L,303.31,312.16,1194,39.01,91.4,0,No_Failure
100,L,304.16,315.19,1533,47.74,69.6,0,No_Failure
