UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type,vib_rms,vib_crest_factor,vib_bpfo_energy,vib_bpfi_energy,vib_bsf_energy
1,L,297.02,306.41,1641,27.77,154.6,0,No_Failure,0.14808994469051837,2.674596220140826,78.03385038216275,60.34433951548741,44.92132071652251
2,H,297.75,307.36,1501,33.84,189.9,0,No_Failure,0.20488765866417177,2.750429250437423,137.58643545288052,104.84485598309023,74.47537883908218
3,M,300.78,309.75,1618,21.31,6.3,0,No_Failure,0.06097669762922116,3.5054626868635,17.680460163306627,11.413722153271323,8.649978948945698
4,L,297.65,306.76,1317,39.26,84.9,0,No_Failure,0.07674924981306279,3.6846943217171217,42.59870608379722,32.91620822474776,18.090970561430428
5,L,302.23,312.66,1526,45.87,192.6,0,No_Failure,0.21030067080150236,2.4785173924555335,163.4333439070453,97.6203063821108,52.28370076973331
6,L,299.86,309.99,1374,26.53,101.0,0,No_Failure,0.08922835234710488,3.382504486988197,44.45296755176981,31.50827624889123,19.863005829981194
7,L,300.17,310.66,1280,40.17,90.7,0,No_Failure,0.0801615038084817,3.3899720896450414,44.37758972702028,29.932032271760708,20.119358390499166
8,M,299.44,309.66,1345,31.95,240.9,1,Tool_Wear_Failure,0.31345436116426123,2.5089088279901035,216.56719159316876,172.9798034927055,106.12603696193858
9,M,301.55,312.25,1402,46.69,141.1,0,No_Failure,0.12905951157631365,3.639045566413538,74.64193758811109,64.97159141803374,40.36453168763985
10,M,301.57,312.44,1724,16.86,51.1,0,No_Failure,0.06327940808090679,3.20690490322026,29.39824637623095,17.65432539158872,11.739697698319674
11,L,300.67,308.93,1397,47.12,118.1,0,No_Failure,0.10102927378364736,2.833996594709834,65.48629625225907,36.605750426495106,29.132350360201624
12,H,301.13,310.28,1271,21.82,134.7,0,No_Failure,0.12018524862873751,2.840766652953624,60.21744793270337,62.58057374168773,29.458157176242025
13,M,299.58,309.34,1524,37.9,250.2,0,No_Failure,0.3324099209348294,2.5158418385254735,266.0612237754102,171.16692869627684,88.51841731063222
14,L,301.08,311.06,1505,32.91,179.6,0,No_Failure,0.18723165452776855,2.7760573874721493,109.10348554100801,81.00891362399179,63.475041720145796
15,L,299.32,308.65,1411,36.39,129.9,0,No_Failure,0.11581252766601262,3.023630808749896,69.08223208106097,58.33559162057686,36.637817063067196
16,L,300.0,310.92,1471,24.71,108.0,0,No_Failure,0.09347114652451148,3.556492756152194,45.831930711605025,44.60415609882122,22.300494544753963
17,L,299.45,311.43,1676,56.6,228.9,0,No_Failure,0.28414191626523033,2.7127142423799295,172.98885406893407,160.19502102634513,74.48531222513196
18,L,299.09,309.27,1621,27.13,161.5,0,No_Failure,0.1611026288658927,2.802186438171085,122.729620464871,74.34018153387295,43.83271633585046
19,L,298.62,308.71,1605,27.92,89.0,0,No_Failure,0.0799167393273318,3.2653366573528486,33.11461810017934,36.058939025739974,20.82553807700477
20,L,300.94,311.78,1287,57.95,116.2,0,No_Failure,0.09791243475698955,3.053262775247592,64.1591964218675,39.32826688658244,26.599201262264067
21,M,302.62,310.76,2020,43.23,72.5,0,No_Failure,0.06854323304226453,3.2965531143243947,33.79954217331695,19.450804227433725,15.875421781830742
22,L,302.34,312.37,1689,27.46,240.1,0,No_Failure,0.30868013080850387,2.521320794274354,246.77481541355337,157.24708229957736,91.22027825139536
23,L,297.49,308.47,1593,38.71,175.5,0,No_Failure,0.1784174163209741,2.4623281151821668,136.2077650847792,79.3405656575548,56.61544382922211
24,L,302.58,311.94,1290,37.64,98.1,0,No_Failure,0.08534576588446267,2.8984319817095914,54.12303573989474,33.56328486036595,21.84195978105568
