feature,mean_abs_shap
thermal_stress_index,16.566078
sensor_11_roll_mean5,9.059924
sensor_4,8.133179
sensor_4_roll_mean5,7.9465766
sensor_3,3.9916222
cumulative_thermal_stress,3.533745
sensor_2_roll_mean5,3.3567548
sensor_9,3.276003
sensor_14,2.7350137
sensor_7_roll_mean5,2.5215952
sensor_12_roll_mean5,2.1169162
sensor_11_fft_dominant_energy,1.3531722
sensor_15,1.1672958
sensor_3_roll_mean5,1.0939602
sensor_4_rate_of_change,1.0746381
sensor_13,1.0060633
sensor_3_rate_of_change,0.8431838
sensor_8,0.7846925
sensor_20,0.7140249
sensor_12,0.6550843
sensor_11,0.6242951
sensor_21,0.5499523
sensor_7,0.47039804
sensor_17,0.43882465
sensor_7_roll_std5,0.3447466
sensor_7_rate_of_change,0.26170915
sensor_11_roll_std5,0.25450143
sensor_12_roll_std5,0.2528237
sensor_4_roll_std5,0.2511755
sensor_2_roll_std5,0.2087372
op_setting_1,0.20502776
sensor_12_rate_of_change,0.19283095
sensor_3_roll_std5,0.18828711
sensor_2_rate_of_change,0.14485276
sensor_2,0.14072104
op_setting_2,0.11983178
sensor_11_rate_of_change,0.112230614
sensor_10,0.0
sensor_6,0.0
sensor_5,0.0
sensor_1,0.0
op_setting_3,0.0
sensor_19,0.0
sensor_16,0.0
sensor_18,0.0
